Product Name,Current Price,Old Price,Discount,Ratings,URL,Photo,Vendor
HP EliteBook x360 1030 G4 8th Gen Intel Core i5 256GB SSD 8GB RAM 4GB Total Graphics HDMI Keyboard Light Touchscreen LONDON USED,"₦431,310.64","₦431,310.64",,,https://www.amaget.com/product/hp-elitebook-x360-1030-g4-8th-gen-intel/,https://www.amaget.com/wp-content/uploads/2023/11/JuxQk1V8J4Dho3nj9lObDxN3FRna0YrR4LP9xwfu-300x300.jpeg,Amaget Site
HP ProBook 650 G2 6th Gen Intel Core i5 500GB HDD 4GB RAM 2GB Total Graphics LONDON USED,"₦189,776.69","₦189,776.69",,,https://www.amaget.com/product/hp-probook-650-g2-6th-gen-intel-core-i5/,https://www.amaget.com/wp-content/uploads/2023/11/1546456578_635_hp_probook-650-g2-300x300.webp,Amaget Site
HP EliteBook 830 G5 8th Gen Intel Core i5 256GB SSD 8GB RAM 4GB Total Graphics Keypad Light HDMI LONDON USED,"₦299,042.05","₦299,042.05",,,https://www.amaget.com/product/hp-elitebook-830-g5-8th-gen-intel-core-i5/,https://www.amaget.com/wp-content/uploads/2023/11/1_67_1-300x300.jpg,Amaget Site
HP EliteBook 840 G3 6th Gen Intel Core i5 256GB SSD 8GB RAM 4GB Total Graphics Keypad Light Touchscreen LONDON USED,"₦270,000.00","₦270,000.00",,,https://www.amaget.com/product/hp-elitebook-840-g3-6th-gen-intel-core-i5-2/,https://www.amaget.com/wp-content/uploads/2023/11/HP-Elitebook-840-G3-Core-i7-6th-Gen-16Gb-RAM-512Gb-SSD-Keyboard-Backlit-Silver-Colour-2-1-300x300.webp,Amaget Site
HP EliteBook 840 G3 6th Gen Intel Core i5 500GB HDD 8GB RAM 4GB Total Graphics LONDON USED,"₦230,000.00","₦230,000.00",,,https://www.amaget.com/product/hp-elitebook-840-g3-6th-gen-intel-core-i5/,https://www.amaget.com/wp-content/uploads/2023/11/61Oq1-kIFUL._AC_UL210_SR210210_.jpg,Amaget Site
Dell Inspiron 15 7th Gen Intel Core i3 1TB HDD 4GB RAM 2GB Total Graphics HDMI DVDRW LONDON USED,"₦224,281.54","₦224,281.54",,,https://www.amaget.com/product/dell-inspiron-15-7th-gen-intel-core-i3/,https://www.amaget.com/wp-content/uploads/2023/11/6f4e196db252ae5e807c7a423f4173288acc3d6c-300x300.webp,Amaget Site
HP EliteBook 840 G3 6th Gen Intel Core i7 256GB SSD 16GB RAM 8GB Total Graphics Keypad Light LONDON USED,"₦330,000.00","₦330,000.00",,,https://www.amaget.com/product/hp-elitebook-840-g3-6th-gen-intel-core-i7/,https://www.amaget.com/wp-content/uploads/2023/11/dg.jpg,Amaget Site
HP EliteBook 840 G6 8th Gen Intel Core i5 256GB SSD 8GB RAM 4GB Total Graphics Keypad Light HDMI LONDON USE,"₦370,000.00","₦370,000.00",,,https://www.amaget.com/product/hp-elitebook-840-g6-8th-gen-intel-core-i5/,https://www.amaget.com/wp-content/uploads/2023/11/7183sMUI6JL-300x300.jpg,Amaget Site
HP EliteBook 840 G5 7th Gen Intel Core i5 256GB SSD 16GB RAM 8GB Total Graphics Keypad Light HDMI LONDON USED,"₦385,000.00","₦385,000.00",,,https://www.amaget.com/product/hp-elitebook-840-g5-7th-gen-intel-core-i5/,https://www.amaget.com/wp-content/uploads/2023/11/HP-EliteBook-840-G5-7th-300x300.jpg,Amaget Site
Lenovo Thinkpad T460 6th Gen Intel Core i5 750GB HDD 8GB RAM 4GB Total Graphics HDMI Keyboard Light Batteries LONDON USED,"₦230,032.35","₦230,032.35",,,https://www.amaget.com/product/lenovo-thinkpad-t460-6th-gen-2/,https://www.amaget.com/wp-content/uploads/2023/11/q8vZnAnDRdxv2rGfEDbukS-1200-80-300x300.jpg,Amaget Site
Lenovo Thinkpad T460 6th Gen Intel Core i5 2TB HDD 8GB RAM 4GB Total Graphics HDMI Keyboard Light 2 Batteries LONDON USED,"₦253,035.58","₦253,035.58",,,https://www.amaget.com/product/lenovo-thinkpad-t460-6th-gen/,https://www.amaget.com/wp-content/uploads/2023/11/Lenovo-Thinkpad-T460-6th-Gen-300x300.jpg,Amaget Site
