Product Name,Current Price,Old Price,Discount,Rating,URL,Photo,Vendor
"Zinox Phoenix 14” Fhd Ips, Intel...","₦660,000","₦825,000",- 20%,No reviews yet,https://www.konga.com/product/zinox-zinox-phoenix-14-oy-fhd-ips-intel-core-i3-10110u-8g-256gb-ssd-win-11-5839794,,Konga Site
"Lenovo Thinkpad E14, Intel Core ...","₦1,020,000","₦1,133,400",- 10%,No reviews yet,https://www.konga.com/product/lenovo-thinkpad-e14-intel-core-i7-1165g7-8gb-ram-256gb-ssd-14-0-win-11-pro-black-20ta00gjue-5838846,,Konga Site
"Lenovo Thinkpad E14, Intel Core ...","₦850,000","₦944,500",- 10%,No reviews yet,https://www.konga.com/product/lenovo-thinkpad-e14-intel-core-i5-1135g7-8gb-ram-256gb-ssd-black-20ta000yue-5838801,,Konga Site
"Lenovo Thinkpad E15, Intel Core ...","₦1,020,000","₦1,133,400",- 10%,No reviews yet,https://www.konga.com/product/lenovo-thinkpad-e15-intel-core-i7-1165g7-8gb-ram-256gb-ssd-15-6-black-20td00g4ue-5838296,,Konga Site
HP Maldives 20c2 | Core I5-1135g...,"₦776,056",,,No reviews yet,https://www.konga.com/product/hp-maldives-20c2-core-i5-1135g7-quad-8gb-ddr4-1-61q25ea-6454407,,Konga Site
HP Eb1040g9 I5-1235u 14 8gb/256 ...,"₦1,806,896",,,No reviews yet,https://www.konga.com/product/hp-eb1040g9-i5-1235u-14-8gb-256-pc-6f683ea-6454377,,Konga Site
HP Laptop 15s-fq5004nia - 256GB ...,"₦571,067",,,No reviews yet,https://www.konga.com/product/hp-laptop-15s-fq5004nia-256gb-ssd-4gb-ram-6g3g9ea-6453998,,Konga Site
HP Laptop 14s-dq5056nia - 512GB ...,"₦786,240",,,No reviews yet,https://www.konga.com/product/hp-laptop-14s-dq5056nia-512gb-ssd-8gb-ram-781v4ea-6453997,,Konga Site
HP Laptop - Langkawi 22c1 - Core...,"₦1,171,570",,,No reviews yet,https://www.konga.com/product/hp-laptop-langkawi-22c1-core-i7-1255u-u15-8gb-ddr4-2-512gb-ssd-781w7ea-6453996,,Konga Site
HP Victus Gaming Laptop 15-fa115...,"₦1,190,465","₦1,267,054",- 6%,No reviews yet,https://www.konga.com/product/hp-victus-gaming-laptop-15-fa1153nia-9r8b3ea-16gb-ram-512gb-ssd-6453994,,Konga Site
HP Eb640g9 I5-1245u 14 16gbRAM -...,"₦1,640,490",,,No reviews yet,https://www.konga.com/product/hp-eb640g9-i5-1245u-14-16gbram-512gb-ssd-pc-5z1b5es-6453990,,Konga Site
Dell  Latitude 5330 Btx Base - 5...,"₦801,750",,,No reviews yet,https://www.konga.com/product/dell-latitude-5330-btx-base-512gb-ssd-16gb-ram-6453989,,Konga Site
HP Spectre X360 - Frozone 21c2 -...,"₦2,001,408",,,No reviews yet,https://www.konga.com/product/hp-spectre-x360-frozone-21c2-core-i7-11390h-quad-16gb-ram-1tbssd-60h78ea-6453988,,Konga Site
Dell Latitude 5430 Btx Base - 51...,"₦801,750",,,No reviews yet,https://www.konga.com/product/dell-latitude-5430-btx-base-512gb-ssd-16gb-ram-6453987,,Konga Site
HP Eb640g9 I7-1265u 14 16GB RAM ...,"₦1,307,023",,,No reviews yet,https://www.konga.com/product/hp-eb640g9-i7-1265u-14-16gb-ram-512gb-ssd-pc-6a2d1ea-6453964,,Konga Site
HP Eb630g9 I5-1235u 13 8gb RAM -...,"₦796,483",,,No reviews yet,https://www.konga.com/product/hp-eb630g9-i5-1235u-13-8gb-ram-512gb-ssd-pc-6a2g6ea-6453950,,Konga Site
HP Victus Gaming Laptop 15-fa116...,"₦1,358,136","₦1,445,512",- 6%,No reviews yet,https://www.konga.com/product/hp-victus-gaming-laptop-15-fa1161nia-9r8b7ea-16gb-ram-512ssd-6452177,"https://www-konga-com-res.cloudinary.com/w_auto,f_auto,fl_lossy,dpr_auto,q_auto/media/catalog/product/P/J/231472_1715360975.jpg",Konga Site
HP Thunderbolt 640 G8 14inch Cor...,"₦1,048,352",,,No reviews yet,https://www.konga.com/product/hp-thunderbolt-640-g8-14inch-core-i5-8gb-ram-256gb-ssd-3s8s8ea-6452173,"https://www-konga-com-res.cloudinary.com/w_auto,f_auto,fl_lossy,dpr_auto,q_auto/media/catalog/product/I/P/231472_1715362155.jpg",Konga Site
HP Victus Gaming Laptop 15-fa115...,"₦1,358,136","₦1,445,512",- 6%,No reviews yet,https://www.konga.com/product/hp-victus-gaming-laptop-15-fa1159nia-9r8b6ea-8gb-ram-1tb-ssd-6452172,"https://www-konga-com-res.cloudinary.com/w_auto,f_auto,fl_lossy,dpr_auto,q_auto/media/catalog/product/I/B/231472_1715361722.jpg",Konga Site
HP Probook 430 G8 13.3 Inch Core...,"₦796,475",,,No reviews yet,https://www.konga.com/product/hp-probook-430-g8-13-3-inch-core-i5-8gb-ram-512gb-ssd-freedos-32m51ea-6452161,"https://www-konga-com-res.cloudinary.com/w_auto,f_auto,fl_lossy,dpr_auto,q_auto/media/catalog/product/C/S/231472_1715358310.jpg",Konga Site
