Product Name,Current Price,Old Price,Discount,Rating,URL,Photo,Vendor
"DELL Latitude 3310 11Th Gen Intel®️ Core™️ I5-Quad Core 256GB SSD 8GB RAM 13.3""WIN10 Pro","₦ 658,000","₦ 698,000",6%,,https://www.jumia.com.ng//dell-latitude-3310-11th-gen-intelr-coretm-i5-quad-core-256gb-ssd-8gb-ram-13.3win10-pro-97417844.html,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/871479/1.jpg?5583,Jumia Site
"Lenovo Thinkpad E570 Energy Star PC - Intel Core I3-6006U - 8GB RAM, 512GB SSD - Win 10 Pro","₦ 678,000","₦ 698,000",3%,5 out of 5,https://www.jumia.com.ng//lenovo-thinkpad-e570-energy-star-pc-intel-core-i3-6006u-8gb-ram-512gb-ssd-win-10-pro-106401396.html,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/3104601/1.jpg?0105,Jumia Site
"DELL Latitude 3310 Intel®️ Core™️ I5-Quad Core 256GB SSD 16GB RAM 13.3""WIN10 Pro","₦ 685,000","₦ 725,000",6%,4 out of 5,https://www.jumia.com.ng//dell-latitude-3310-intelr-coretm-i5-quad-core-256gb-ssd-16gb-ram-13.3win10-pro-79503796.html,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/730597/1.jpg?6761,Jumia Site
"DELL Latitude 3420-14"" FHD-11th Gen Intel Core I5-1135G7 Quad-Core-8GB RAM-256GB SSD-Black","₦ 858,000","₦ 898,000",4%,,https://www.jumia.com.ng//dell-latitude-3420-14-fhd-11th-gen-intel-core-i5-1135g7-quad-core-8gb-ram-256gb-ssd-black-214642262.html,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/2246412/1.jpg?7113,Jumia Site
Hp Notebook 14 Intel Celeron Dual Core N4020 8GB RAM 1TB HDD WIN 10,"₦ 438,000","₦ 468,000",6%,5 out of 5,https://www.jumia.com.ng//hp-notebook-14-intel-celeron-dual-core-n4020-8gb-ram-1tb-hdd-win-10-77238422.html,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/483277/1.jpg?7135,Jumia Site
Hp Stream 11 Pro- Intel Celeron - 4GB RAM - 64GB SSD Windows 10 Pro+ Mouse & USB LIGHT FOR Keyboard,"₦ 170,000","₦ 200,000",15%,3.9 out of 5,https://www.jumia.com.ng//hp-stream-11-pro-intel-celeron-4gb-ram-64gb-ssd-windows-10-pro-mouse-usb-light-for-keyboard-120957721.html,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/7759021/1.jpg?0217,Jumia Site
Hp Stream 11-Intel Celeron 64gb Ssd/4gb Ram+pouch,"₦ 143,000","₦ 180,000",21%,4.3 out of 5,https://www.jumia.com.ng//hp-stream-11-intel-celeron-64gb-ssd4gb-rampouch-82974010.html,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/047928/1.jpg?4862,Jumia Site
Hp EliteBook 840 G6 Intel Core I5-8GB RAM/512GB SSD/Backlit Keyboard/FP Reader Wins 11 Laptop +BAG,"₦ 465,000","₦ 800,000",42%,4.5 out of 5,https://www.jumia.com.ng//hp-elitebook-840-g6-intel-core-i5-8gb-ram512gb-ssdbacklit-keyboardfp-reader-wins-11-laptop-bag-91113622.html,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/631119/1.jpg?8000,Jumia Site
Hp Stream 11 Pro - 64GB SSD- Intel Celeron  4GB DDR4 RAM WIN10 Pro + USB Light For Keyboard&Mouse,"₦ 170,000","₦ 200,000",15%,4.4 out of 5,https://www.jumia.com.ng//stream-11-pro-g5-touchscreen-128gb-ssd-intel-celeron-4gb-ddr4-ram-win10-pro-bag-hp-mpg3400816.html,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/152738/1.jpg?5186,Jumia Site
Hp ProBook 11 X360- TOUCH Intel Celeron 256GB 8GB RAM WIN10 Pro+ USB LIGHT FOR KEYBOARD,"₦ 395,000","₦ 398,450",1%,4.4 out of 5,https://www.jumia.com.ng//hp-probook-11-x360-touch-intel-celeron-256gb-8gb-ram-win10-pro-usb-light-for-keyboard-71668817.html,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/886617/1.jpg?4648,Jumia Site
"DELL Latitude 3190 Intel Celeron 128GB SSD, 4GB RAM Wins 10 + Flash Light","₦ 150,000","₦ 300,000",50%,5 out of 5,https://www.jumia.com.ng//dell-latitude-3190-intel-celeron-128gb-ssd-4gb-ram-wins-10-flash-light-218288325.html,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/3882812/1.jpg?8256,Jumia Site
Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO+ Mouse & USB Light For Keyboard,"₦ 155,000","₦ 250,000",38%,4.6 out of 5,https://www.jumia.com.ng//hp-stream-11-laptop-intel-celeron-64gb-ssd-4gb-ram-windows-10-pro-mouse-usb-light-for-keyboard-204680222.html,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/2086402/1.jpg?6749,Jumia Site
