prod_title,current_price,old_price,discount,rating,photo,URL,vendor
HP 15 CELERON LAPTOP INTEL N4020 8GB RAM 1TB HARD DRIVE 15” INCHES SCREEN SIZE WIN 10 (BLACK COLOUR),440000.0,480000.0,,,https://pcplaceng.com/wp-content/uploads/2023/04/image-41-300x300.webp,https://pcplaceng.com/product/hp-15-laptop-intel-celeron-n4020-8gb-ram-1tb-hard-drive-15-inches-screen-size-win-10-black-colour/,PC-PLACE_site
HP 240 Laptop G9 Notebook PC 12th Generation Intel® Core™ i3 256GB SSD | 8GB,440000.0,460000.0,,,https://pcplaceng.com/wp-content/uploads/2024/04/c08227578-300x300.webp,https://pcplaceng.com/product/hp-240-g9-14-inch-notebook-pc-inch-notebook-pc-12th-generation-intel-core-i3-256gb-ssd-8gb-freedos/,PC-PLACE_site
HP 14 Pentium cf2241nia Laptop | Hedwig 19C2 |  Silver N5030 quad | 4GB DDR4 1DM 2400 | 500GB 5400RPM.,450000.0,500000.0,,,https://pcplaceng.com/wp-content/uploads/2023/04/image-18-300x300.jpg,https://pcplaceng.com/product/hp-14-cf2241nia-laptop-hedwig-19c2-pentium-silver-n5030-quad-4gb-ddr4-1dm-2400-500gb-5400rpm/,PC-PLACE_site
HP 15 Pentium® Silver N5000 128GB SSD 4GB RAM.,450000.0,521000.0,,,https://pcplaceng.com/wp-content/uploads/2023/04/81vAZipgYJL._AC_SX679_-300x300.webp,https://pcplaceng.com/product/hp-15-dw0083-pentium-silver-n5000-128gb-ssd-4gb-ram/,PC-PLACE_site
HP 15 Pentium dw1128nia Intel Silver N5030 4GB RAM 1TB HDD Windows 10,450000.0,550000.0,,,https://pcplaceng.com/wp-content/uploads/2023/04/4-5-300x300.webp,https://pcplaceng.com/product/hp-15-dw1128nia-intel-pentium-silver-4gb/,PC-PLACE_site
Lenovo V14 LAPTOP AMD RYZEN 3 3250U 4GB RAM 1TB 14.0 SCREEN FREEDOS,465000.0,495000.0,,,https://pcplaceng.com/wp-content/uploads/2023/04/UntitledWWWW-300x300.jpg,https://pcplaceng.com/product/lenovo-v14-amd-ryzen-3-3250u-4gb-ram-1tb-14-0%e2%80%b3screen-freedos/,PC-PLACE_site
"HP 14- Laptop (2G1X4EA): 1TB HDD, 4GB RAM  cf2239nia",470000.0,500000.0,,,https://pcplaceng.com/wp-content/uploads/2023/04/Untitled-12-1-1-300x300.jpg,https://pcplaceng.com/product/hp-laptop-14-cf2239nia-2g1x4ea1tb-hdd-4gb-ram/,PC-PLACE_site
HP 14 PENTIUM CF2206NIA LAPTOP ( SILVER N5030/4GB/1TB/14.0 HD/WIN10H) – JET BLACK,475000.0,520000.0,,,https://pcplaceng.com/wp-content/uploads/2023/04/Untitled8-1-1-300x300.jpg,https://pcplaceng.com/product/hp-14-cf2206nia-laptop-pentium-silver-n5030-4gb-1tb-14-0-hd-win10h-jet-black/,PC-PLACE_site
Hp 15 INTEL PENTIUM GOLD 6405U 4GB RAM/128GB SSD dw1083wm (1B9S3UA),480000.0,530000.0,,,https://pcplaceng.com/wp-content/uploads/2023/04/image-1.jpg,https://pcplaceng.com/product/hp-15-dw1083wm-1b9s3ua-intel-pentium-gold-6405u-4-128gb-ssd/,PC-PLACE_site
Lenovo laptop Intel Pentium N5030 4gb 1Tb HDD WLAN WC 15.6 Screen Win10 grey,480000.0,520000.0,,,https://pcplaceng.com/wp-content/uploads/2023/04/KKKKKKKKKKKKKK.jpg,https://pcplaceng.com/product/lenovo-laptop-intel-pentium-n5030-4gb-1tb-hdd-wlan-wc-15-6-screen-win10-grey/,PC-PLACE_site
